Time,Mois_beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
2023-08-08,66,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-08,65,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-08,65,83,81,66,18,17,18,18,18,92,92,92,93,2
2023-08-09,65,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-09,65,83,81,66,18,17,18,18,18,92,92,92,93,2
2023-08-09,63,83,81,66,18,17,18,18,18,92,92,92,93,1
2023-08-09,87,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-09,77,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-09,77,83,81,66,18,17,18,18,18,92,92,92,93,1
2023-08-09,77,83,81,66,18,17,18,18,18,92,92,93,93,3
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,92,93,3
2023-08-09,76,82,80,66,18,17,18,18,18,92,92,92,93,3
2023-08-09,77,82,81,66,18,17,18,18,18,92,92,93,93,12
2023-08-09,77,83,82,67,18,17,18,18,18,92,92,93,93,12
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,93,93,12
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,93,93,10
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,93,93,10
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,93,93,10
2023-08-09,76,82,81,66,18,17,18,18,18,92,92,93,93,9
2023-08-09,75,81,81,66,18,17,18,18,18,92,92,93,93,9
2023-08-09,76,83,81,88,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,81,82,78,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,81,82,79,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,82,82,79,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,82,82,79,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,82,82,80,18,17,18,18,18,92,92,93,93,9
2023-08-09,77,82,82,81,18,17,18,18,18,92,92,93,93,8
2023-08-10,77,82,82,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,80,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,80,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,92,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,92,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,92,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,78,82,81,82,18,17,18,18,18,92,92,92,93,9
2023-08-10,77,82,81,82,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,92,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-10,77,82,81,81,18,17,18,18,18,92,92,93,93,9
2023-08-11,77,82,81,81,18,17,18,18,18,92,92,93,93,10
2023-08-11,77,81,81,81,18,17,18,18,18,92,92,92,93,10
2023-08-11,77,81,81,81,18,17,18,18,18,92,92,92,93,10
2023-08-11,77,81,81,81,18,17,18,18,18,92,92,92,93,10
2023-08-11,77,81,81,80,18,17,18,18,18,92,92,92,93,10
2023-08-11,77,81,81,80,18,17,18,18,18,92,92,92,93,10
2023-08-11,77,81,81,80,18,17,18,18,18,92,92,93,93,10
2023-08-11,77,81,81,80,18,17,18,18,18,92,92,93,93,10
2023-08-11,77,81,81,80,18,17,18,18,18,92,92,92,93,10
2023-08-11,76,80,80,79,18,17,18,18,18,92,92,92,93,10
2023-08-11,76,80,80,80,18,17,18,18,18,92,92,92,93,10
2023-08-11,79,82,83,89,18,17,18,18,18,92,92,92,93,10
2023-08-11,78,81,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,81,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,81,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,11
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,32
2023-08-11,78,80,82,78,18,17,18,18,18,92,92,92,93,31
2023-08-11,78,80,82,79,18,17,18,18,18,92,92,92,93,29
2023-08-12,78,80,82,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,78,80,82,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,78,80,82,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,79,80,82,79,18,17,18,18,18,92,92,92,93,38
2023-08-12,80,81,82,80,18,17,18,18,18,92,92,92,93,38
2023-08-12,81,81,83,80,18,17,18,18,18,92,92,92,93,37
2023-08-12,81,81,83,79,18,17,18,18,18,92,92,92,93,38
2023-08-12,81,81,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,81,81,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,81,81,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,81,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,81,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,34
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,37
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,35
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,82,80,83,79,18,17,18,18,18,92,92,92,93,36
2023-08-12,82,80,83,79,18,17,17,18,18,92,92,92,93,36
2023-08-13,82,80,83,79,18,17,18,18,18,92,92,92,93,36
2023-08-13,82,80,83,79,17,17,18,18,18,92,92,92,93,35
2023-08-13,82,80,83,79,17,17,18,18,18,92,92,92,93,35
2023-08-13,82,80,82,79,17,17,17,18,18,92,92,92,93,36
2023-08-13,82,80,82,79,17,17,17,17,18,92,92,92,93,36
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,93,36
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,93,35
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,93,35
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,93,35
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,92,35
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,92,35
2023-08-13,83,81,83,79,17,17,17,17,18,92,92,92,92,35
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,90,36
2023-08-13,83,81,83,79,17,17,17,17,17,92,92,92,90,36
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,36
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,35
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,35
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,35
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,90,36
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,90,36
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,36
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,34
2023-08-13,83,81,83,78,17,17,17,17,17,92,92,92,89,36
